period;LOC;lat;lon;Filename
Conflict & 2005-Justice and Peace (2001-2005);Arauca, Arauca;6.547306;-71.0022311;1
Conflict & 2005-Justice and Peace (2001-2005);Argelia, Valle del Cauca;4.727773;-76.12151399999999;1
Conflict & 2005-Justice and Peace (2001-2005);Armero, Tolima;5.0051173;-74.8273184;2
Conflict & 2005-Justice and Peace (2001-2005);Bogotá D.C., Cundinamarca;4.710988599999999;-74.072092;16
Conflict & 2005-Justice and Peace (2001-2005);Bojaya, Chocó;6.5213281;-76.9728457;1
Conflict & 2005-Justice and Peace (2001-2005);Boyacá, Boyacá;5.454511;-73.362003;1
Conflict & 2005-Justice and Peace (2001-2005);Buenaventura, Valle del Cauca;3.8830471;-77.01972119999999;1
Conflict & 2005-Justice and Peace (2001-2005);Carmen del Darien, Chocó;5.253016970279803;-76.82596520469436;2
Conflict & 2005-Justice and Peace (2001-2005);Casabianca, Tolima;5.078568;-75.119717;2
Conflict & 2005-Justice and Peace (2001-2005);Ciudad Bolívar, Bolívar;5.851450055027782;-76.02167748047562;4
Conflict & 2005-Justice and Peace (2001-2005);Córdoba, Córdoba;8.765106754125203;-75.87187833545246;1
Conflict & 2005-Justice and Peace (2001-2005);Córdoba, Quindío;4.392094999999999;-75.687434;2
Conflict & 2005-Justice and Peace (2001-2005);Dibulla, La Guajira;11.2724671;-73.3094943;4
Conflict & 2005-Justice and Peace (2001-2005);Dosquebradas, Risaralda;4.8318256;-75.68056779999999;1
Conflict & 2005-Justice and Peace (2001-2005);Duitama, Boyacá;5.8268951;-73.0329273;1
Conflict & 2005-Justice and Peace (2001-2005);El Cairo, Valle del Cauca;4.760770400000001;-76.2216962;3
Conflict & 2005-Justice and Peace (2001-2005);Falan, Tolima;5.1206208;-74.95246910000002;2
Conflict & 2005-Justice and Peace (2001-2005);Florida, Valle del Cauca;3.3213339;-76.235361;8
Conflict & 2005-Justice and Peace (2001-2005);Fundación, Magdalena;10.517179;-74.1819979;8
Conflict & 2005-Justice and Peace (2001-2005);Génova, Quindío;4.2497299;-75.66954;2
Conflict & 2005-Justice and Peace (2001-2005);Itagui, Quindío;4.4610191;-75.667356;1
Conflict & 2005-Justice and Peace (2001-2005);Ituango, Quindío;7.1722236;-75.764398;1
Conflict & 2005-Justice and Peace (2001-2005);La Montañita, Caquetá;1.4342295;-75.3878525;3
Conflict & 2005-Justice and Peace (2001-2005);Lejanías, Meta;3.5272204;-74.022413;2
Conflict & 2005-Justice and Peace (2001-2005);Lérida, Tolima;4.8658613;-74.89749250000001;2
Conflict & 2005-Justice and Peace (2001-2005);Líbano, Tolima;4.9224602;-75.0642244;2
Conflict & 2005-Justice and Peace (2001-2005);Medellín, Quindío;6.2476376;-75.56581530000001;1
Conflict & 2005-Justice and Peace (2001-2005);Mistrató, Risaralda;5.2962025;-75.88155549999999;2
Conflict & 2005-Justice and Peace (2001-2005);Morales, Bolívar;8.27533;-73.86817599999999;1
Conflict & 2005-Justice and Peace (2001-2005);Nóvita, Chocó;4.956167;-76.60734900000001;2
Conflict & 2005-Justice and Peace (2001-2005);Pailitas, Cesar;8.959667;-73.626268;1
Conflict & 2005-Justice and Peace (2001-2005);Palocabildo, Tolima;5.119358;-75.023736;2
Conflict & 2005-Justice and Peace (2001-2005);Pelaya, Cesar;8.688030999999999;-73.666377;1
Conflict & 2005-Justice and Peace (2001-2005);Pensilvania, Caldas;5.38211;-75.16142599999999;1
Conflict & 2005-Justice and Peace (2001-2005);Pijao, Quindío;4.334346099999999;-75.7036308;2
Conflict & 2005-Justice and Peace (2001-2005);Pradera, Valle del Cauca;3.4195763;-76.24053119999999;8
Conflict & 2005-Justice and Peace (2001-2005);Pueblo Rico, Risaralda;5.221976;-76.03042330000001;3
Conflict & 2005-Justice and Peace (2001-2005);Puerto Guzmán, Putumayo;0.96377;-76.40798099999999;2
Conflict & 2005-Justice and Peace (2001-2005);Puerto Rondón, Arauca;6.281167;-71.1047959;1
Conflict & 2005-Justice and Peace (2001-2005);Riohacha, La Guajira;11.5384151;-72.91678379999999;4
Conflict & 2005-Justice and Peace (2001-2005);Riosucio, Caldas;5.420683899999999;-75.705388;1
Conflict & 2005-Justice and Peace (2001-2005);Riosucio, Chocó;7.437558799999999;-77.11333479999999;2
Conflict & 2005-Justice and Peace (2001-2005);Risaralda, Risaralda;5.315847499999999;-75.9927652;4
Conflict & 2005-Justice and Peace (2001-2005);San Francisco, Quindío;4.5369;-75.67177;1
Conflict & 2005-Justice and Peace (2001-2005);San Miguel, Putumayo;0.33002;-76.87635999999999;7
Conflict & 2005-Justice and Peace (2001-2005);Soacha, Cundinamarca;4.5827227;-74.21174649999999;27
Conflict & 2005-Justice and Peace (2001-2005);Tadó, Risaralda;5.315847499999999;-75.9927652;3
Conflict & 2005-Justice and Peace (2001-2005);Tame, Arauca;6.4586679;-71.73477369999999;1
Conflict & 2005-Justice and Peace (2001-2005);Tierralta, Córdoba;8.171571;-76.062313;1
Conflict & 2005-Justice and Peace (2001-2005);Trujillo, Valle del Cauca;4.211646;-76.3187681;1
Conflict & 2005-Justice and Peace (2001-2005);Uribe, Meta;3.239241;-74.350661;2
Conflict & 2005-Justice and Peace (2001-2005);Valledupar, Valle del Cauca;4.18049;-77.16171;1
Conflict & 2005-Justice and Peace (2001-2005);Villahermosa, Tolima;5.029564;-75.1168256;2
Conflict & 2005-Justice and Peace (2001-2005);Yondó, Quindío;6.951009099999999;-74.1709702;1
