period;LOC;lat;lon;Filename
Conflict (2006-2011);Acandí, Chocó;8.510109;-77.27897999999999;16
Conflict (2006-2011);Achí, Cesar;8.570080743082608;-74.55650886273637;3
Conflict (2006-2011);Aguachica, Cesar;8.3097459;-73.61448709999999;3
Conflict (2006-2011);Albania, Caquetá;1.3291425;-75.87856339999999;4
Conflict (2006-2011);Albán, Caquetá;0.869892;-73.8419063;2
Conflict (2006-2011);Algeciras, Huila;2.523286;-75.3156229;3
Conflict (2006-2011);Alto Baudo, Chocó;5.516347;-76.974502;30
Conflict (2006-2011);Andes, Nariño;1.4937224;-77.5213227;12
Conflict (2006-2011);Anorí, Quindío;7.073592499999999;-75.1469662;1
Conflict (2006-2011);Apartadó, Quindío;4.4610191;-75.667356;4
Conflict (2006-2011);Aracataca, Magdalena;10.591925;-74.186103;5
Conflict (2006-2011);Arauca, Arauca;6.547306;-71.0022311;22
Conflict (2006-2011);Arauquita, Arauca;7.029334;-71.4294759;19
Conflict (2006-2011);Arenal, Norte de Santander;7.9462831;-72.8988069;7
Conflict (2006-2011);Argelia, Cauca;2.3611583;-77.2405153;5
Conflict (2006-2011);Ariguaní, Magdalena;9.844197;-74.22811899999999;7
Conflict (2006-2011);Arjona, Bolívar;10.252471;-75.347308;10
Conflict (2006-2011);Ayapel, Córdoba;8.3092849;-75.140264;8
Conflict (2006-2011);Bahía Solano, Chocó;6.222551999999999;-77.40115399999999;2
Conflict (2006-2011);Bajo Baudó, Chocó;5.3442678;-77.2864879;30
Conflict (2006-2011);Balboa, Cauca;2.0409787;-77.2164114;3
Conflict (2006-2011);Barbacoas, Nariño;1.5635978;-78.0195387;24
Conflict (2006-2011);Barrancabermeja, Antioquia;6.816669999999999;-74.0833;13
Conflict (2006-2011);Barranco de Loba, Bolívar;8.948135;-74.106454;9
Conflict (2006-2011);Barranquilla, Atlántico;11.0041072;-74.80698129999999;11
Conflict (2006-2011);Bello, Cesar;10.40944718982188;-73.58981210668578;9
Conflict (2006-2011);Belén de Bajira, Chocó;7.3716922;-76.714186;14
Conflict (2006-2011);Belén de Los Andaquies, Caquetá;1.420043;-75.8724671;11
Conflict (2006-2011);Belén, Caquetá;1.345558;-75.840813;2
Conflict (2006-2011);Bogotá D.C., Bogotá;4.710988599999999;-74.072092;7
Conflict (2006-2011);Bogotá D.C., Cundinamarca;4.710988599999999;-74.072092;5
Conflict (2006-2011);Bojaya, Quindío;6.5213281;-76.9728457;2
Conflict (2006-2011);Bolívar, Bolívar;8.6704382;-74.0300122;10
Conflict (2006-2011);Bucaramanga, Antioquia;7.119349;-73.1227416;10
Conflict (2006-2011);Buenaventura, Valle del Cauca;3.8830471;-77.01972119999999;8
Conflict (2006-2011);Buenavista, Córdoba;8.222953;-75.482981;8
Conflict (2006-2011);Buenavista, Quindío;4.3526315;-75.7487779;4
Conflict (2006-2011);Cabrera, Cundinamarca;3.9842364;-74.4842232;1
Conflict (2006-2011);Cabrera, Nariño;1.2333;-77.21672;4
Conflict (2006-2011);Cajamarca, Tolima;4.441792;-75.426844;1
Conflict (2006-2011);Calarca, Quindío;4.5266936;-75.64095739999999;5
Conflict (2006-2011);Calarcá, Quindío;4.5266936;-75.64095739999999;4
Conflict (2006-2011);Caldas, Caldas;5.054639660097866;-75.47940460716484;4
Conflict (2006-2011);Caldono, Cauca;2.7977575;-76.4834781;7
Conflict (2006-2011);Caloto, Cauca;3.0358187;-76.40786659999999;8
Conflict (2006-2011);Carmen de Atrato, Quindío;5.8998577;-76.14223179999999;2
Conflict (2006-2011);Carmen del Darien, Chocó;5.253016970279803;-76.82596520469436;15
Conflict (2006-2011);Cartagena, Bolívar;10.3932277;-75.4832311;10
Conflict (2006-2011);Carurú, Vaupés;1.0126327;-71.2965117;1
Conflict (2006-2011);Caucasia, Quindío;7.983182100000001;-75.1981665;5
Conflict (2006-2011);Chaparral, Tolima;3.7440073;-75.5742467;5
