period;LOC;lat;lon;Filename
Havana Peace Negotiations, Peace Agreement (2012-2016);Acandí, Chocó;8.510109;-77.27897999999999;17
Havana Peace Negotiations, Peace Agreement (2012-2016);Achí, Bolívar;8.567684999999999;-74.5559339;1
Havana Peace Negotiations, Peace Agreement (2012-2016);Aguachica, Cesar;8.3097459;-73.61448709999999;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Algeciras, Huila;2.523286;-75.3156229;11
Havana Peace Negotiations, Peace Agreement (2012-2016);Alto Baudo, Chocó;5.516347;-76.974502;18
Havana Peace Negotiations, Peace Agreement (2012-2016);Apartadó, Quindío;4.4610191;-75.667356;19
Havana Peace Negotiations, Peace Agreement (2012-2016);Araquita, Arauca;7.029334;-71.4294759;12
Havana Peace Negotiations, Peace Agreement (2012-2016);Arauca, Arauca;6.547306;-71.0022311;29
Havana Peace Negotiations, Peace Agreement (2012-2016);Arauquita, Arauca;7.029334;-71.4294759;16
Havana Peace Negotiations, Peace Agreement (2012-2016);Arenal, Bolívar;8.45917;-73.94093;13
Havana Peace Negotiations, Peace Agreement (2012-2016);Armenia, Quindío;4.535000399999999;-75.6756888;20
Havana Peace Negotiations, Peace Agreement (2012-2016);Ataco, Tolima;3.591068;-75.381727;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Ayapel, Córdoba;8.3092849;-75.140264;5
Havana Peace Negotiations, Peace Agreement (2012-2016);Bahía Solano, Chocó;6.222551999999999;-77.40115399999999;26
Havana Peace Negotiations, Peace Agreement (2012-2016);Bajo Baudó, Chocó;5.3442678;-77.2864879;18
Havana Peace Negotiations, Peace Agreement (2012-2016);Barbacoas, Nariño;1.5635978;-78.0195387;16
Havana Peace Negotiations, Peace Agreement (2012-2016);Barrancabermeja, Antioquia;6.816669999999999;-74.0833;49
Havana Peace Negotiations, Peace Agreement (2012-2016);Barrancominas, Guainía;3.4944415;-69.8153804;4
Havana Peace Negotiations, Peace Agreement (2012-2016);Barranquilla, Atlántico;11.0041072;-74.80698129999999;7
Havana Peace Negotiations, Peace Agreement (2012-2016);Bogotá D.C., Bogotá;4.710988599999999;-74.072092;37
Havana Peace Negotiations, Peace Agreement (2012-2016);Bojaya, Chocó;6.5213281;-76.9728457;14
Havana Peace Negotiations, Peace Agreement (2012-2016);Bojaya, Quindío;6.5213281;-76.9728457;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Bolívar, Bolívar;8.6704382;-74.0300122;18
Havana Peace Negotiations, Peace Agreement (2012-2016);Boyacá, Boyacá;5.454511;-73.362003;13
Havana Peace Negotiations, Peace Agreement (2012-2016);Bucarasica, Norte de Santander;8.039551;-72.866872;4
Havana Peace Negotiations, Peace Agreement (2012-2016);Buenaventura, Valle del Cauca;3.8830471;-77.01972119999999;17
Havana Peace Negotiations, Peace Agreement (2012-2016);Buenavista, Córdoba;8.222953;-75.482981;5
Havana Peace Negotiations, Peace Agreement (2012-2016);Buenventura, Valle del Cauca;3.8830471;-77.01972119999999;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Calamar, Guaviare;1.920614;-72.554237;27
Havana Peace Negotiations, Peace Agreement (2012-2016);Calarcá, Quindío;4.5266936;-75.64095739999999;14
Havana Peace Negotiations, Peace Agreement (2012-2016);Caldono, Cauca;2.7977575;-76.4834781;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Cali, Valle del Cauca;3.4516467;-76.5319854;13
Havana Peace Negotiations, Peace Agreement (2012-2016);Caloto, Cauca;3.0358187;-76.40786659999999;5
Havana Peace Negotiations, Peace Agreement (2012-2016);Campoalegre, Huila;2.6851058;-75.3266416;6
Havana Peace Negotiations, Peace Agreement (2012-2016);Carepa, Quindío;7.755354;-76.6554309;5
