categoria;LOC;lat;lon;Filename
Nuevos Paramilitares (Narco-Para);Acacias, Meta;3.991663;-73.76612899999999;4
Nuevos Paramilitares (Narco-Para);Acandí, Chocó;8.510109;-77.27897999999999;8
Nuevos Paramilitares (Narco-Para);Achí, Bolívar;8.567684999999999;-74.5559339;1
Nuevos Paramilitares (Narco-Para);Achí, Cauca;2.57301;-76.77915999999999;2
Nuevos Paramilitares (Narco-Para);Aguachica, Cesar;8.3097459;-73.61448709999999;1
Nuevos Paramilitares (Narco-Para);Aguazul, Casanare;5.170847;-72.55081899999999;3
Nuevos Paramilitares (Narco-Para);Albania, Caquetá;1.3291425;-75.87856339999999;1
Nuevos Paramilitares (Narco-Para);Albán, Caquetá;0.869892;-73.8419063;1
Nuevos Paramilitares (Narco-Para);Alto Baudo, Chocó;5.516347;-76.974502;16
Nuevos Paramilitares (Narco-Para);Andes, Nariño;1.4937224;-77.5213227;5
Nuevos Paramilitares (Narco-Para);Apartadó, Antioquia;7.882760999999999;-76.624692;1
Nuevos Paramilitares (Narco-Para);Apartadó, Quindío;4.4610191;-75.667356;6
Nuevos Paramilitares (Narco-Para);Aracataca, Magdalena;10.591925;-74.186103;1
Nuevos Paramilitares (Narco-Para);Arenal, Bolívar;8.45917;-73.94093;4
Nuevos Paramilitares (Narco-Para);Arenal, Norte de Santander;7.9462831;-72.8988069;2
Nuevos Paramilitares (Narco-Para);Argelia, Cauca;2.3611583;-77.2405153;3
Nuevos Paramilitares (Narco-Para);Ariguaní, Magdalena;9.844197;-74.22811899999999;2
Nuevos Paramilitares (Narco-Para);Arjona, Bolívar;10.252471;-75.347308;2
Nuevos Paramilitares (Narco-Para);Armenia, Quindío;4.535000399999999;-75.6756888;6
Nuevos Paramilitares (Narco-Para);Astrea, Magdalena;9.499569752906764;-73.97463916706934;4
Nuevos Paramilitares (Narco-Para);Ayapel, Córdoba;8.3092849;-75.140264;5
Nuevos Paramilitares (Narco-Para);Bahía Solano, Chocó;6.222551999999999;-77.40115399999999;14
Nuevos Paramilitares (Narco-Para);Bajo Baudó, Chocó;5.3442678;-77.2864879;16
Nuevos Paramilitares (Narco-Para);Barbacoas, Nariño;1.5635978;-78.0195387;11
Nuevos Paramilitares (Narco-Para);Barrancabermeja, Antioquia;6.816669999999999;-74.0833;28
Nuevos Paramilitares (Narco-Para);Barranco de Loba, Bolívar;8.948135;-74.106454;3
Nuevos Paramilitares (Narco-Para);Barranquilla, Atlántico;11.0041072;-74.80698129999999;11
Nuevos Paramilitares (Narco-Para);Bello, Cesar;10.40944718982188;-73.58981210668578;2
Nuevos Paramilitares (Narco-Para);Belén de Bajira, Chocó;7.3716922;-76.714186;2
Nuevos Paramilitares (Narco-Para);Belén de Los Andaquies, Caquetá;1.420043;-75.8724671;3
Nuevos Paramilitares (Narco-Para);Belén, Caquetá;1.345558;-75.840813;1
Nuevos Paramilitares (Narco-Para);Bogotá D.C., Bogotá;4.710988599999999;-74.072092;28
Nuevos Paramilitares (Narco-Para);Bogotá D.C., Tolima;4.710988599999999;-74.072092;3
Nuevos Paramilitares (Narco-Para);Bolívar, Bolívar;8.6704382;-74.0300122;10
Nuevos Paramilitares (Narco-Para);Briceño, Antioquia;7.1129229;-75.55109980000002;1
Nuevos Paramilitares (Narco-Para);Briceño, Antioquia;7.1129229;-75.55109980000002;1
