LOC;lat;lon;Filename
Abrego, Norte de Santander;8.082246099999999;-73.13496049999999;5
Acacias, Meta;3.991663;-73.76612899999999;28
Acandí, Chocó;8.510109;-77.27897999999999;33
Achí, Bolívar;8.567684999999999;-74.5559339;1
Achí, Cauca;2.57301;-76.77915999999999;16
Achí, Cesar;8.570080743082608;-74.55650886273637;3
Aguachica, Cesar;8.3097459;-73.61448709999999;5
Aguazul, Casanare;5.170847;-72.55081899999999;15
Albania, Caquetá;1.3291425;-75.87856339999999;4
Albán, Caquetá;0.869892;-73.8419063;2
Algarrobo, Magdalena;10.10004;-74.26662999999999;1
Algeciras, Huila;2.523286;-75.3156229;31
Alto Baudo, Chocó;5.516347;-76.974502;56
Altos del Rosario, Bolívar;8.7931714;-74.1608708;3
Andes, Antioquia;5.656421;-75.879654;4
Andes, Nariño;1.4937224;-77.5213227;12
Anorí, Quindío;7.073592499999999;-75.1469662;1
Apartadó, Antioquia;7.882760999999999;-76.624692;7
Apartadó, Quindío;4.4610191;-75.667356;23
Aracataca, Magdalena;10.591925;-74.186103;29
Araquita, Arauca;7.029334;-71.4294759;12
Arauca, Arauca;6.7801281;-70.7168469;72
Arauquita, Arauca;7.029334;-71.4294759;51
Arenal, Bolívar;8.45917;-73.94093;21
Arenal, Norte de Santander;7.9462831;-72.8988069;7
Argelia, Cauca;2.3611583;-77.2405153;12
Argelia, Valle del Cauca;4.727773;-76.12151399999999;1
Ariguaní, Magdalena;9.844197;-74.22811899999999;7
Arjona, Bolívar;10.252471;-75.347308;13
Armenia, Quindío;4.535000399999999;-75.6756888;20
Armenia, Risaralda;4.97586;-75.75666;21
Armero, Tolima;5.0051173;-74.8273184;2
Astrea, Magdalena;9.499569752906764;-73.97463916706934;18
Ataco, Tolima;3.591068;-75.381727;16
Atrato Medio, Chocó;5.989716400000001;-76.7336521;11
Atrato, Chocó;5.5549057;-76.6181655;6
Ayapel, Córdoba;8.3092849;-75.140264;13
Bahía Solano, Chocó;6.222551999999999;-77.40115399999999;2
Bahía Solano, Chocó;6.222551999999999;-77.40115399999999;28
Bajo Baudó, Chocó;5.3442678;-77.2864879;58
Balboa, Cauca;2.0409787;-77.2164114;8
