clean_NNAJ_actors|Departamento|Filename|Year|categoria|place|LOC|lat|lon|period
Grupo Armado Ilegal|Nariño|AT N° 004-18 NAR-Tumaco.pdf|2018||Tumaco|Tumaco, Nariño|1.787434|-78.791265|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Nariño|AT N° 004-18 NAR-Tumaco.pdf|2018|Guerrillas|Tumaco|Tumaco, Nariño|1.787434|-78.791265|Post-Agreement (2017-2022)
Grupos Armados Ilegales|Nariño|AT N° 004-18 NAR-Tumaco.pdf|2018||Tumaco|Tumaco, Nariño|1.787434|-78.791265|Post-Agreement (2017-2022)
Delincuencia Organizada|Nariño|AT N° 004-18 NAR-Tumaco.pdf|2018||Tumaco|Tumaco, Nariño|1.787434|-78.791265|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Nariño|AT N° 004-18 NAR-Tumaco.pdf|2018|Guerrillas|Tumaco|Tumaco, Nariño|1.787434|-78.791265|Post-Agreement (2017-2022)
Gente Del Orden|Nariño|AT N° 004-18 NAR-Tumaco.pdf|2018||Tumaco|Tumaco, Nariño|1.787434|-78.791265|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Nariño|AT N° 004-18 NAR-Tumaco.pdf|2018|Guerrillas|Tumaco|Tumaco, Nariño|1.787434|-78.791265|Post-Agreement (2017-2022)
Once De Noviembre|Nariño|AT N° 004-18 NAR-Tumaco.pdf|2018||Tumaco|Tumaco, Nariño|1.787434|-78.791265|Post-Agreement (2017-2022)
Gente Del Orden|Nariño|AT N° 004-18 NAR-Tumaco.pdf|2018||Tumaco|Tumaco, Nariño|1.787434|-78.791265|Post-Agreement (2017-2022)
Nuev|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Puerto Rico|Puerto Rico, Meta|2.941214|-73.20746799999999|Post-Agreement (2017-2022)
Nuev|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Puerto Lleras|Puerto Lleras, Meta|3.272414|-73.369542|Post-Agreement (2017-2022)
Nuev|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Vista Hermosa|Vista Hermosa, Meta|3.127883|-73.752512|Post-Agreement (2017-2022)
Partido Far|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Puerto Rico|Puerto Rico, Meta|2.941214|-73.20746799999999|Post-Agreement (2017-2022)
Partido Far|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Puerto Lleras|Puerto Lleras, Meta|3.272414|-73.369542|Post-Agreement (2017-2022)
Partido Far|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Vista Hermosa|Vista Hermosa, Meta|3.127883|-73.752512|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|Guerrillas|Puerto Rico|Puerto Rico, Meta|2.941214|-73.20746799999999|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|Guerrillas|Puerto Lleras|Puerto Lleras, Meta|3.272414|-73.369542|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|Guerrillas|Vista Hermosa|Vista Hermosa, Meta|3.127883|-73.752512|Post-Agreement (2017-2022)
Autodefensas Unidas De Colombia|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|Paramilitares|Puerto Rico|Puerto Rico, Meta|2.941214|-73.20746799999999|Post-Agreement (2017-2022)
Autodefensas Unidas De Colombia|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|Paramilitares|Puerto Lleras|Puerto Lleras, Meta|3.272414|-73.369542|Post-Agreement (2017-2022)
Autodefensas Unidas De Colombia|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|Paramilitares|Vista Hermosa|Vista Hermosa, Meta|3.127883|-73.752512|Post-Agreement (2017-2022)
Zvtn|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Puerto Rico|Puerto Rico, Meta|2.941214|-73.20746799999999|Post-Agreement (2017-2022)
Zvtn|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Puerto Lleras|Puerto Lleras, Meta|3.272414|-73.369542|Post-Agreement (2017-2022)
Zvtn|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Vista Hermosa|Vista Hermosa, Meta|3.127883|-73.752512|Post-Agreement (2017-2022)
Frente Septimo De Las Farc|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Puerto Rico|Puerto Rico, Meta|2.941214|-73.20746799999999|Post-Agreement (2017-2022)
Frente Septimo De Las Farc|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Puerto Lleras|Puerto Lleras, Meta|3.272414|-73.369542|Post-Agreement (2017-2022)
Frente Septimo De Las Farc|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Vista Hermosa|Vista Hermosa, Meta|3.127883|-73.752512|Post-Agreement (2017-2022)
