clean_NNAJ_actors|Filename|Year|categoria
Grupo Armado Ilegal|AT N° 004-18 NAR-Tumaco.pdf|2018|
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 004-18 NAR-Tumaco.pdf|2018|Guerrillas
Grupos Armados Ilegales|AT N° 004-18 NAR-Tumaco.pdf|2018|
Delincuencia Organizada|AT N° 004-18 NAR-Tumaco.pdf|2018|
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 004-18 NAR-Tumaco.pdf|2018|Guerrillas
Gente Del Orden|AT N° 004-18 NAR-Tumaco.pdf|2018|
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 004-18 NAR-Tumaco.pdf|2018|Guerrillas
Once De Noviembre|AT N° 004-18 NAR-Tumaco.pdf|2018|
Gente Del Orden|AT N° 004-18 NAR-Tumaco.pdf|2018|
Nuev|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|
Partido Far|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|Guerrillas
Autodefensas Unidas De Colombia|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|Paramilitares
Zvtn|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|
Frente Septimo De Las Farc|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|
Inmuebles 2 Puert|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|
Frentes De Las Farc|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|Guerrillas
Ejército De Liberación Nacional|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas
Ejército De Liberación Nacional|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas
Autodefensas Gaitanistas De Colombia|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Nuevos Paramilitares (Narco-Para)
Autodefensas Gaitanistas De Colombia|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Nuevos Paramilitares (Narco-Para)
Juntas De A|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|
Participación Efectiva De Víctimas|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|
Autodefensas Gaitanistas De Colombia|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Nuevos Paramilitares (Narco-Para)
Autodefensas Campesinas Del Magdalena Medio|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|
Ejército De Liberación Nacional|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas
Autodefensas Gaitanistas De Colombia|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Nuevos Paramilitares (Narco-Para)
Autodefensas Campesinas Del Magdalena Medio|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|
Ejército De Liberación Nacional|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas
Agencia De Desarrollo Rural|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|
Unidad Administrativa Para La Atención|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|
Autodefensas Gaitanistas De Colombia|AT N° 009-18 ANT-Cáceres.pdf|2018|Nuevos Paramilitares (Narco-Para)
Caparrapos|AT N° 009-18 ANT-Cáceres.pdf|2018|
Grupo Armado Ilegal|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|
Grupo Armado Ilegal|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|
Ejército De Liberación Nacional|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas
Ejército De Liberación Nacional|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas
